region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Western Bahr el Ghazal,1.9715360831504978e-05,2.347318964377557e-05,9.65179719559743e-07,1.2982423552576684e-06,97.45567199999999,116.03554399999999,24468,28272,9885681,0.000607848,0.000526062,4671543.44618,0.97455672,1.16035544,0.097455672,0.11603554399999999,-0.01857987199999999,2.252197827380455e-08,2.602343345418515e-08,South Sudan
Dakar,1.1821077103533224e-08,1.6734753426625785e-07,5.996208047681751e-10,8.580170286300004e-09,0.058469128,0.82773036,12,146,4946176,3.139e-06,2.58e-07,2335771.72309,0.00058469128,0.0082773036,5.8469128e-05,0.00082773036,-0.000769261232,1.1045599938109148e-11,1.3438813258032794e-10,Senegal
Fatick,0.0035025245786132453,0.004018755065760355,0.00016682983926010514,0.0002455579028295763,17312.556434,19867.565846106998,4998968,10044157,79085449,0.2159493755,0.107477812,37372347.56944,173.12556433999998,198.67565846107,17.312556434,19.867565846107002,-2.555009412107001,4.6013833859508e-06,9.245311661463212e-06,Senegal
Kaffrine,0.0001232182907312766,0.0014757032148872,6.065187885005277e-06,8.02525858227808e-05,608.98331,7293.7784,192403,2695612,14827410,0.057955658,0.0041366645,7007315.1692699995,6.0898331,72.937784,0.6089833099999999,7.2937784,-6.68479509,1.7710054707433452e-07,2.4812209783638563e-06,Senegal
Thies,0.005704287730482209,0.0009094387605050275,0.000290412622405866,5.0848522380909706e-05,28197.46389,4496.043525,9730151,2586250,54374581,0.055604375,0.20919824650000002,25693488.95399,281.9746389,44.960435249999996,28.19746389,4.496043525,23.701420365,8.956279606949388e-06,2.3805569033278985e-06,Senegal
Tambacounda,0.0005523842624087743,0.003894470426268961,2.5456651134167423e-05,0.0002297538696688791,2730.6840206,19251.4245798,689304,6253402,252085981,0.134448143,0.014820036,119124357.87759,27.306840206,192.514245798,2.7306840206,19.2514245798,-16.5207405592,6.344813516448656e-07,5.756048062014301e-06,Senegal
Louga,0.0024919945447763286,0.001745848615835197,0.00012727892486075735,9.884719282949625e-05,12318.2543553,8629.2383955,4430766,4379674,88968907,0.094162991,0.095261469,42043891.01562,123.182543553,86.292383955,12.3182543553,8.6292383955,3.689015959799999,4.078372387948009e-06,4.031343905278187e-06,Senegal
Kaolack,0.0005220461527361185,0.0033556130134788,2.6028003067317988e-05,0.0002055344204429763,2580.04732,16584.7706,808736,8623630,29654820,0.185408045,0.017387824,14014630.338539999,25.8004732,165.847706,2.5800473200000003,16.5847706,-14.004723279999999,7.4441452596222e-07,7.937763916189682e-06,Senegal
Matam,1.8415428475440975e-05,4.658786787856575e-05,8.948347079961053e-07,2.3426283660175247e-06,91.0428584,230.32253844000002,24825,78730,34607665,0.0016926950000000001,0.0005337375,16350402.06163,0.9104285839999999,2.3032253844,0.09104285840000001,0.23032253844,-0.13927968004,2.2850584871963298e-08,7.24683402606111e-08,Senegal
Kebbi,0.007883981268697137,0.012171412990841094,0.00040077411672423077,0.000652961419375688,38967.55934,60156.91572,11926497,17435505,163103734,0.3748633575,0.2564196855,77080466.86196999,389.6755934,601.5691572,38.96755934,60.15691572,-21.18935638,1.0977942877088245e-05,1.6048801079075144e-05,Nigeria
Gombe,0.0009489111481027,0.0014305261654072,4.6348735332479624e-05,8.036216477603312e-05,4690.3019,7071.6871,1328587,2339480,19771362,0.05029882,0.028564620500000002,9343086.89236,46.903019,70.716871,4.6903019,7.0716871,-2.3813852,1.2229200404143849e-06,2.153413345267299e-06,Nigeria
Katsina,0.0131484674061148,0.003273411966541491,0.0006956207239777353,0.00016631643339697435,64982.0749,16177.70227,21802164,8367793,79074333,0.1799075495,0.468746526,37372347.56944,649.820749,161.7770227,64.9820749,16.17770227,48.80437263,2.006816511075379e-05,7.70227448690918e-06,Nigeria
Kano,0.0148075629725352,0.005708080283972584,0.000797554438571682,0.0002948604496334263,73191.9727,28214.69677,22189407,13934585,93915082,0.2995935775,0.4770722505,44379662.73871,731.919727,282.1469677,73.19197270000001,28.21469677,44.977275930000005,2.0424609382156555e-05,1.282632093446472e-05,Nigeria
Adamawa,0.00045226621810222947,0.0018549483054414,1.9927384750803944e-05,9.481063469196943e-05,2235.329434,9166.96124,569854,2208206,19769139,0.047476429,0.012251861,9343086.89236,22.353294339999998,91.6696124,2.235329434,9.166961240000001,-6.9316318059999995,5.245316089276041e-07,2.032580004744354e-06,Nigeria
Niger,0.0015896328576770113,0.016396084781374148,7.660731072082477e-05,0.0009017110285086723,7857.12222,81057.060527,1789800,17895717,74145943,0.3847579155,0.0384807,35036575.84635,78.5712222,810.57060527,7.85712222,81.057060527,-73.199938307,1.6474512307689793e-06,1.647241088230157e-05,Nigeria
Jigawa,0.018125327063813538,0.002792464857040303,0.0009342656375527453,0.00014309332511156173,89582.95609,13801.81642,31576648,7753971,118617058,0.1667103765,0.678897932,56058521.354159996,895.8295609,138.0181642,89.58295609,13.80181642,75.78113967,2.906525176620786e-05,7.137271799808344e-06,Nigeria
Borno,0.009457259302171261,0.009222716854548368,0.00045656604929299123,0.0004586081837401141,46744.5409249,45591.265092036,11517720,13392828,247144251,0.287945802,0.24763098,116788586.1545,467.44540924899997,455.91265092036,46.7445409249,45.591265092036004,1.153275832864,1.060167727659654e-05,1.2327651677325537e-05,Nigeria
Bauchi,0.0063012054927171,0.004629383995536806,0.0003202703262347751,0.00022147444486030966,31148.6361,22887.14294,9884113,8145233,64264709,0.1751225095,0.2125084295,30365032.40017,311.486361,228.8714294,31.148636099999997,22.88714294,8.261493159999999,9.097996495088651e-06,7.497415426723715e-06,Nigeria
Yobe,0.009896243034720921,0.011509352975009263,0.0005204520100390251,0.0005740543393796893,48909.62437,56882.4277,18486434,23430449,158153112,0.5037546535,0.397458331,74744695.13888,489.0962437,568.8242769999999,48.90962437,56.8824277,-7.972803329999999,1.7016146187188237e-05,2.156694716868913e-05,Nigeria
