geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((1.4971921401992025 14.373044545912343, 1.796630568239043 14.373044545912343, 1.796630568239043 14.672482973952183, 1.4971921401992025 14.672482973952183, 1.4971921401992025 14.373044545912343))",1_16_2,NER,Tillabéri,9.737012244348081e-06,3.1124659659605954e-06,4.887628900459271e-07,1.6347168723743302e-07
"POLYGON ((1.796630568239043 14.373044545912343, 2.096068996278883 14.373044545912343, 2.096068996278883 14.672482973952183, 1.796630568239043 14.672482973952183, 1.796630568239043 14.373044545912343))",2_16_0,NER,Tillabéri,1.8925108698572244e-05,8.183197253602366e-07,9.768573802271767e-07,4.603238604636437e-08
"POLYGON ((2.096068996278883 14.373044545912343, 2.3955074243187235 14.373044545912343, 2.3955074243187235 14.672482973952183, 2.096068996278883 14.672482973952183, 2.096068996278883 14.373044545912343))",2_16_1,NER,Tillabéri,8.3770629338851e-06,1.2921287726129775e-06,4.4508623479157534e-07,6.178155785782878e-08
"POLYGON ((3.8926995645179265 14.373044545912343, 4.192137992557766 14.373044545912343, 4.192137992557766 14.672482973952183, 3.8926995645179265 14.672482973952183, 3.8926995645179265 14.373044545912343))",4_16_1,NER,Dosso,2.791100428074363e-06,1.5991809471163778e-06,1.687663792194273e-07,6.83219509036764e-08
"POLYGON ((4.192137992557766 14.373044545912343, 4.491576420597607 14.373044545912343, 4.491576420597607 14.672482973952183, 4.192137992557766 14.672482973952183, 4.192137992557766 14.373044545912343))",4_16_2,NER,Dosso,2.8332087533774393e-06,1.7745612105841199e-06,1.6109646506781615e-07,7.92413754684779e-08
"POLYGON ((4.491576420597607 14.373044545912343, 4.791014848637447 14.373044545912343, 4.791014848637447 14.672482973952183, 4.491576420597607 14.672482973952183, 4.491576420597607 14.373044545912343))",5_16_0,NER,Tahoua,6.091173993475267e-06,3.359805179289025e-06,3.7902206787225176e-07,1.5139291913284675e-07
"POLYGON ((4.791014848637447 14.373044545912343, 5.090453276677288 14.373044545912343, 5.090453276677288 14.672482973952183, 4.791014848637447 14.672482973952183, 4.791014848637447 14.373044545912343))",5_16_1,NER,Tahoua,4.315464489871137e-05,1.4242084841487792e-05,2.599755120260726e-06,6.319472253707616e-07
"POLYGON ((4.791014848637447 14.672482973952183, 5.090453276677288 14.672482973952183, 5.090453276677288 14.971921401992024, 4.791014848637447 14.971921401992024, 4.791014848637447 14.672482973952183))",5_16_4,NER,Tahoua,2.4701580505782935e-05,6.936087404776884e-06,1.3712743953786969e-06,2.9008753102641675e-07
"POLYGON ((5.090453276677288 14.373044545912343, 5.389891704717129 14.373044545912343, 5.389891704717129 14.672482973952183, 5.090453276677288 14.672482973952183, 5.090453276677288 14.373044545912343))",5_16_2,NER,Tahoua,9.261171906073069e-05,0.0001487961360617028,5.479443475834785e-06,6.542607035730261e-06
"POLYGON ((5.090453276677288 14.672482973952183, 5.389891704717129 14.672482973952183, 5.389891704717129 14.971921401992024, 5.090453276677288 14.971921401992024, 5.090453276677288 14.672482973952183))",5_16_5,NER,Tahoua,8.340148666033646e-05,9.195433083726592e-05,4.6731328513779944e-06,4.103864773630946e-06
