geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((4.192137992557766 10.480344981394417, 4.491576420597607 10.480344981394417, 4.491576420597607 10.779783409434257, 4.192137992557766 10.779783409434257, 4.192137992557766 10.480344981394417))",4_11_8,NGA,Niger,0.0001324717082273355,0.00029578510261002525,0.0,0.00011431626115275773
"POLYGON ((4.491576420597607 10.480344981394417, 4.791014848637447 10.480344981394417, 4.791014848637447 10.779783409434257, 4.491576420597607 10.779783409434257, 4.491576420597607 10.480344981394417))",5_11_6,NGA,Niger,0.00010025404969122396,6.6352323779130495e-06,0.0002724287971091444,0.0
"POLYGON ((4.791014848637447 10.480344981394417, 5.090453276677288 10.480344981394417, 5.090453276677288 10.779783409434257, 4.791014848637447 10.779783409434257, 4.791014848637447 10.480344981394417))",5_11_7,NGA,Niger,0.00013907645223099673,0.000445079674495632,0.0001965463522167545,0.0
"POLYGON ((11.678098693553778 10.480344981394417, 11.977537121593619 10.480344981394417, 11.977537121593619 10.779783409434257, 11.678098693553778 10.779783409434257, 11.678098693553778 10.480344981394417))",13_11_6,NGA,Borno,5.443450041805333e-05,0.0004319097343004847,0.0,0.00010180119419219846
"POLYGON ((11.977537121593619 10.480344981394417, 12.27697554963346 10.480344981394417, 12.27697554963346 10.779783409434257, 11.977537121593619 10.779783409434257, 11.977537121593619 10.480344981394417))",13_11_7,NGA,Borno,9.682954892965056e-05,0.00024860181479373686,0.0,4.650181792568065e-05
"POLYGON ((12.27697554963346 10.480344981394417, 12.576413977673301 10.480344981394417, 12.576413977673301 10.779783409434257, 12.27697554963346 10.779783409434257, 12.27697554963346 10.480344981394417))",13_11_8,NGA,Borno,2.6066982577376702e-05,0.0001627770163729638,0.0,0.00012631810817599214
"POLYGON ((12.576413977673301 10.480344981394417, 12.875852405713141 10.480344981394417, 12.875852405713141 10.779783409434257, 12.576413977673301 10.779783409434257, 12.576413977673301 10.480344981394417))",14_11_6,NGA,Adamawa,1.4113634733236207e-05,0.00047290280780901785,0.0,0.00011581364358775668
"POLYGON ((12.875852405713141 10.480344981394417, 13.175290833752982 10.480344981394417, 13.175290833752982 10.779783409434257, 12.875852405713141 10.779783409434257, 12.875852405713141 10.480344981394417))",14_11_7,NGA,Adamawa,1.9402841205749577e-05,0.0006037607133397795,0.0,0.00014104067670365854
"POLYGON ((13.175290833752982 10.480344981394417, 13.474729261792822 10.480344981394417, 13.474729261792822 10.779783409434257, 13.175290833752982 10.779783409434257, 13.175290833752982 10.480344981394417))",14_11_8,NGA,Adamawa,0.00014130791468368157,0.00029341596387304425,5.9257153556873135e-05,0.0
"POLYGON ((13.474729261792822 9.881468125314736, 13.774167689832662 9.881468125314736, 13.774167689832662 10.180906553354577, 13.474729261792822 10.180906553354577, 13.474729261792822 9.881468125314736))",15_11_0,CMR,Extreme-Nord,5.665281664392044e-05,0.000194480808911512,0.0,3.783535577637649e-05
"POLYGON ((13.474729261792822 10.180906553354577, 13.774167689832662 10.180906553354577, 13.774167689832662 10.480344981394417, 13.474729261792822 10.480344981394417, 13.474729261792822 10.180906553354577))",15_11_3,CMR,Extreme-Nord,4.0029939087618444e-05,0.0003159742200072179,0.0,4.5002682899424706e-05
"POLYGON ((13.474729261792822 10.480344981394417, 13.774167689832662 10.480344981394417, 13.774167689832662 10.779783409434257, 13.474729261792822 10.779783409434257, 13.474729261792822 10.480344981394417))",15_11_6,CMR,Extreme-Nord,5.4955642587555714e-05,0.00021110290253374223,0.0,3.494813276284653e-05
"POLYGON ((13.774167689832662 9.881468125314736, 14.073606117872503 9.881468125314736, 14.073606117872503 10.180906553354577, 13.774167689832662 10.180906553354577, 13.774167689832662 9.881468125314736))",15_11_1,CMR,Extreme-Nord,4.812161605699202e-05,0.0002603772374238222,0.0,4.020748685008419e-05
"POLYGON ((13.774167689832662 10.180906553354577, 14.073606117872503 10.180906553354577, 14.073606117872503 10.480344981394417, 13.774167689832662 10.480344981394417, 13.774167689832662 10.180906553354577))",15_11_4,CMR,Extreme-Nord,5.234719850993701e-05,8.927091700968615e-05,0.0,1.7964769681912886e-05
"POLYGON ((13.774167689832662 10.480344981394417, 14.073606117872503 10.480344981394417, 14.073606117872503 10.779783409434257, 13.774167689832662 10.779783409434257, 13.774167689832662 10.480344981394417))",15_11_7,CMR,Extreme-Nord,0.00010030186647911781,0.00012313869627538255,0.0,8.851711557754349e-06
"POLYGON ((14.073606117872503 9.881468125314736, 14.373044545912343 9.881468125314736, 14.373044545912343 10.180906553354577, 14.073606117872503 10.180906553354577, 14.073606117872503 9.881468125314736))",15_11_2,CMR,Extreme-Nord,3.373964410722948e-05,3.445599739242802e-05,0.0,7.371920766487028e-06
"POLYGON ((14.073606117872503 10.180906553354577, 14.373044545912343 10.180906553354577, 14.373044545912343 10.480344981394417, 14.073606117872503 10.480344981394417, 14.073606117872503 10.180906553354577))",15_11_5,CMR,Extreme-Nord,0.00010546561641020532,0.00011794810150676768,0.0,8.340813024203805e-07
"POLYGON ((14.073606117872503 10.480344981394417, 14.373044545912343 10.480344981394417, 14.373044545912343 10.779783409434257, 14.073606117872503 10.779783409434257, 14.073606117872503 10.480344981394417))",15_11_8,CMR,Extreme-Nord,0.00020076525896936198,2.0987702487308054e-05,6.564037670317414e-05,0.0
"POLYGON ((14.373044545912343 9.881468125314736, 14.672482973952183 9.881468125314736, 14.672482973952183 10.180906553354577, 14.373044545912343 10.180906553354577, 14.373044545912343 9.881468125314736))",16_11_0,CMR,Extreme-Nord,7.145933952057822e-05,0.0003505594647231516,0.0,8.464034001110429e-05
"POLYGON ((14.373044545912343 10.180906553354577, 14.672482973952183 10.180906553354577, 14.672482973952183 10.480344981394417, 14.373044545912343 10.480344981394417, 14.373044545912343 10.180906553354577))",16_11_3,CMR,Extreme-Nord,9.155685342414441e-05,0.00037129462225543933,1.1197953136616633e-05,0.0
"POLYGON ((14.373044545912343 10.480344981394417, 14.672482973952183 10.480344981394417, 14.672482973952183 10.779783409434257, 14.373044545912343 10.779783409434257, 14.373044545912343 10.480344981394417))",16_11_6,CMR,Extreme-Nord,0.00023565649534998276,2.9774824637264168e-05,0.00015656087099967948,0.0
"POLYGON ((14.672482973952183 9.881468125314736, 14.971921401992024 9.881468125314736, 14.971921401992024 10.180906553354577, 14.672482973952183 10.180906553354577, 14.672482973952183 9.881468125314736))",16_11_1,CMR,Extreme-Nord,0.00033298719426849715,0.00021303300994547227,3.8123772528622785e-05,0.0
"POLYGON ((14.672482973952183 10.180906553354577, 14.971921401992024 10.180906553354577, 14.971921401992024 10.480344981394417, 14.672482973952183 10.480344981394417, 14.672482973952183 10.180906553354577))",16_11_4,CMR,Extreme-Nord,0.00013796455728651516,0.0002123261359757083,4.063503434130384e-05,0.0
